Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
74,Sunday Jul 1,boxscore,NYM,@,LAD,L,1,5,,20-54,10,29,Drysdale,Craig,,2:29,D,23241,--
75,Monday Jul 2,boxscore,NYM,@,SFG,W,8,5,,21-54,10,29,MacKenzie,Miller,Miller,3:15,N,11058,+
76,Tuesday Jul 3,boxscore,NYM,@,SFG,L,1,10,,21-55,10,29.5,Sanford,Jackson,,2:35,D,7083,-
77,Wednesday Jul 4 (1),boxscore,NYM,@,SFG,L,4,11,,21-56,10,31.5,Bolin,Miller,,2:46,N,,--
78,Wednesday Jul 4 (2),boxscore,NYM,@,SFG,L,3,10,,21-57,10,31.5,O'Dell,Hunter,,3:00,D,33253,---
79,Friday Jul 6,boxscore,NYM,,STL,W,10,3,,22-57,10,31,Craig,Sadecki,,2:36,N,14515,+
80,Saturday Jul 7 (1),boxscore,NYM,,STL,W-wo,5,4,,23-57,10,31,Daviault,Broglio,,2:53,D,,++
81,Saturday Jul 7 (2),boxscore,NYM,,STL,L,2,3,,23-58,10,31,Washburn,Anderson,McDaniel,2:23,D,16530,-
82,Sunday Jul 8,boxscore,NYM,,STL,L,1,15,,23-59,10,31.5,Gibson,Hook,,2:47,D,12460,--
83,Thursday Jul 12,boxscore,NYM,,LAD,L,0,3,,23-60,10,32.5,Koufax,Craig,Sherry,2:36,N,15719,---
84,Friday Jul 13,boxscore,NYM,,LAD,L,4,5,,23-61,10,33.5,Drysdale,Jackson,,2:39,N,23910,----
85,Saturday Jul 14,boxscore,NYM,,LAD,L,3,17,,23-62,10,34.5,Williams,Anderson,,2:51,D,37253,-----
86,Sunday Jul 15 (1),boxscore,NYM,,SFG,W,5,3,,24-62,10,34.5,Hook,Pierce,,3:08,D,,+
87,Sunday Jul 15 (2),boxscore,NYM,,SFG,L,8,9,,24-63,10,34.5,Bolin,Hunter,Marichal,3:01,D,35463,-
88,Monday Jul 16,boxscore,NYM,,SFG,L,2,3,,24-64,10,35,Sanford,Craig,Garibaldi,3:03,N,23280,--
89,Thursday Jul 19 (1),boxscore,NYM,,PIT,L,1,5,,24-65,10,35.5,Friend,Jackson,,2:23,N,,---
90,Thursday Jul 19 (2),boxscore,NYM,,PIT,L,6,7,10,24-66,10,35.5,Face,Hook,,3:36,N,16540,----
91,Friday Jul 20,boxscore,NYM,@,CIN,L,1,3,,24-67,10,36.5,Jay,Craig,,2:23,N,12764,-----
92,Saturday Jul 21,boxscore,NYM,@,CIN,L,3,5,,24-68,10,37.5,Purkey,Anderson,,2:30,D,8381,------
93,Sunday Jul 22 (1),boxscore,NYM,@,CIN,L,4,11,,24-69,10,39,Nuxhall,Jackson,Klippstein,2:43,D,,-------
94,Sunday Jul 22 (2),boxscore,NYM,@,CIN,L-wo,3,4,,24-70,10,39,Brosnan,Craig,,2:31,D,16756,--------
95,Tuesday Jul 24,boxscore,NYM,@,MLN,L-wo,4,5,12,24-71,10,39.5,Shaw,Miller,,3:58,N,9971,---------
96,Wednesday Jul 25,boxscore,NYM,@,MLN,L,5,11,,24-72,10,40.5,Hendley,Craig,Fischer,3:08,N,9056,----------
97,Thursday Jul 26,boxscore,NYM,@,MLN,L,1,6,,24-73,10,41,Spahn,Anderson,,2:27,D,9749,-----------
98,Friday Jul 27 (1),boxscore,NYM,@,STL,W,1,0,,25-73,10,41.5,Jackson,Gibson,,2:14,N,,+
99,Friday Jul 27 (2),boxscore,NYM,@,STL,L,5,6,,25-74,10,41.5,Duliba,Daviault,McDaniel,2:52,N,18722,-
100,Saturday Jul 28,boxscore,NYM,@,STL,W,9,8,,26-74,10,41.5,MacKenzie,Simmons,Anderson,3:10,N,15008,+
101,Sunday Jul 29 (1),boxscore,NYM,@,STL,L,5,6,,26-75,10,43,Broglio,Daviault,Gibson,2:42,D,,-
102,Sunday Jul 29 (2),boxscore,NYM,@,STL,L,1,5,,26-76,10,43,Washburn,Craig,Duliba,2:28,D,15443,--
103,Wednesday Aug 1,boxscore,NYM,,PHI,L,9,11,,26-77,10,43,Bennett,Jackson,Baldschun,3:32,N,8681,---
